id,user_id,product_id,created_at,updated_at
9,1612,540,2018-06-29 05:28:17,2018-06-29 05:28:17
10,1612,646,2018-06-29 05:33:13,2018-06-29 05:33:13
11,1612,6293,2018-06-29 05:33:28,2018-06-29 05:33:28
12,1615,1272,2018-06-29 12:35:30,2018-06-29 12:35:30
13,1615,9160,2018-06-29 12:35:31,2018-06-29 12:35:31
14,1615,1282,2018-06-29 12:35:36,2018-06-29 12:35:36
15,1615,9164,2018-06-29 13:08:09,2018-06-29 13:08:09
16,1615,10299,2018-06-29 13:08:14,2018-06-29 13:08:14
21,1260,2788,2018-07-02 19:22:29,2018-07-02 19:22:29
26,1624,10798,2018-07-02 22:09:35,2018-07-02 22:09:35
28,1556,12193,2018-07-03 15:15:08,2018-07-03 15:15:08
29,1556,2710,2018-07-03 15:17:49,2018-07-03 15:17:49
30,1627,11062,2018-07-05 22:18:38,2018-07-05 22:18:38
31,1627,10798,2018-07-05 22:18:46,2018-07-05 22:18:46
43,1654,12198,2018-07-14 15:07:27,2018-07-14 15:07:27
45,1661,9499,2018-07-16 19:09:51,2018-07-16 19:09:51
46,1661,3130,2018-07-16 19:10:07,2018-07-16 19:10:07
48,1661,4417,2018-07-16 19:12:21,2018-07-16 19:12:21
49,1668,362,2018-07-18 22:48:43,2018-07-18 22:48:43
50,1668,364,2018-07-18 22:48:46,2018-07-18 22:48:46
51,1668,414,2018-07-18 22:48:55,2018-07-18 22:48:55
52,1668,416,2018-07-18 22:49:04,2018-07-18 22:49:04
53,1668,656,2018-07-18 22:49:33,2018-07-18 22:49:33
54,1668,6919,2018-07-18 22:50:15,2018-07-18 22:50:15
55,1668,6921,2018-07-18 22:50:19,2018-07-18 22:50:19
56,1668,9058,2018-07-18 22:50:37,2018-07-18 22:50:37
57,1668,10548,2018-07-18 22:53:23,2018-07-18 22:53:23
58,1668,9826,2018-07-18 23:15:04,2018-07-18 23:15:04
59,1668,11335,2018-07-18 23:17:59,2018-07-18 23:17:59
60,1672,12192,2018-07-19 20:54:25,2018-07-19 20:54:25
65,1679,10342,2018-07-23 20:16:21,2018-07-23 20:16:21
66,1679,10770,2018-07-23 20:17:09,2018-07-23 20:17:09
71,1689,284,2018-07-26 03:01:55,2018-07-26 03:01:55
72,1689,290,2018-07-26 03:02:01,2018-07-26 03:02:01
73,1689,360,2018-07-26 03:02:27,2018-07-26 03:02:27
74,1689,376,2018-07-26 03:02:51,2018-07-26 03:02:51
75,1689,512,2018-07-26 03:04:27,2018-07-26 03:04:27
76,1689,1194,2018-07-26 03:06:20,2018-07-26 03:06:20
77,1689,1896,2018-07-26 03:09:35,2018-07-26 03:09:35
78,1689,1898,2018-07-26 03:09:40,2018-07-26 03:09:40
79,1689,1904,2018-07-26 03:09:53,2018-07-26 03:09:53
80,1689,2016,2018-07-26 03:10:47,2018-07-26 03:10:47
81,1689,2408,2018-07-26 03:11:10,2018-07-26 03:11:10
82,1689,2974,2018-07-26 03:12:48,2018-07-26 03:12:48
83,1689,6506,2018-07-26 03:17:38,2018-07-26 03:17:38
84,1689,7430,2018-07-26 03:21:28,2018-07-26 03:21:28
85,1689,10327,2018-07-26 03:23:29,2018-07-26 03:23:29
86,1689,10342,2018-07-26 03:23:41,2018-07-26 03:23:41
87,1689,10350,2018-07-26 03:23:46,2018-07-26 03:23:46
88,1689,11380,2018-07-26 03:25:06,2018-07-26 03:25:06
89,1689,11704,2018-07-26 03:26:04,2018-07-26 03:26:04
90,1689,11806,2018-07-26 03:46:39,2018-07-26 03:46:39
91,1689,11802,2018-07-26 03:46:48,2018-07-26 03:46:48
92,1689,12178,2018-07-26 03:47:09,2018-07-26 03:47:09
93,1689,12192,2018-07-26 03:51:24,2018-07-26 03:51:24
94,1689,12196,2018-07-26 03:53:31,2018-07-26 03:53:31
95,1689,12205,2018-07-26 03:57:15,2018-07-26 03:57:15
96,1689,484,2018-07-26 03:59:17,2018-07-26 03:59:17
99,1693,356,2018-07-26 21:08:29,2018-07-26 21:08:29
100,1693,358,2018-07-26 21:08:33,2018-07-26 21:08:33
101,1693,9067,2018-07-26 21:09:24,2018-07-26 21:09:24
102,1693,9160,2018-07-26 21:09:49,2018-07-26 21:09:49
103,1693,9164,2018-07-26 21:09:52,2018-07-26 21:09:52
104,1693,9184,2018-07-26 21:10:02,2018-07-26 21:10:02
105,1694,1618,2018-07-26 21:37:42,2018-07-26 21:37:42
106,1694,9964,2018-07-26 21:39:12,2018-07-26 21:39:12
107,1530,1286,2018-07-27 19:29:19,2018-07-27 19:29:19
108,1530,1282,2018-07-27 19:29:23,2018-07-27 19:29:23
109,1530,3108,2018-07-27 19:35:46,2018-07-27 19:35:46
110,1624,502,2018-07-28 05:30:23,2018-07-28 05:30:23
111,1624,504,2018-07-28 05:30:29,2018-07-28 05:30:29
112,1624,500,2018-07-28 05:30:35,2018-07-28 05:30:35
115,1702,2552,2018-08-01 14:48:54,2018-08-01 14:48:54
117,1710,216,2018-08-06 02:49:50,2018-08-06 02:49:50
118,1710,218,2018-08-06 02:50:09,2018-08-06 02:50:09
119,1710,300,2018-08-06 02:52:24,2018-08-06 02:52:24
120,1710,328,2018-08-06 02:52:57,2018-08-06 02:52:57
121,1710,344,2018-08-06 02:53:30,2018-08-06 02:53:30
122,1710,346,2018-08-06 02:53:37,2018-08-06 02:53:37
123,1710,354,2018-08-06 02:54:20,2018-08-06 02:54:20
124,1710,372,2018-08-06 02:54:46,2018-08-06 02:54:46
125,1710,384,2018-08-06 02:55:06,2018-08-06 02:55:06
126,1710,478,2018-08-06 02:56:16,2018-08-06 02:56:16
127,1710,538,2018-08-06 02:57:21,2018-08-06 02:57:21
128,1710,592,2018-08-06 02:58:06,2018-08-06 02:58:06
129,1710,594,2018-08-06 02:58:17,2018-08-06 02:58:17
130,1710,682,2018-08-06 02:59:16,2018-08-06 02:59:16
131,1710,714,2018-08-06 02:59:33,2018-08-06 02:59:33
132,1710,1186,2018-08-06 03:01:25,2018-08-06 03:01:25
133,1710,1188,2018-08-06 03:01:34,2018-08-06 03:01:34
134,1710,1282,2018-08-06 03:03:07,2018-08-06 03:03:07
135,1710,1286,2018-08-06 03:03:23,2018-08-06 03:03:23
136,1710,1290,2018-08-06 03:03:46,2018-08-06 03:03:46
137,1710,1646,2018-08-06 03:07:42,2018-08-06 03:07:42
138,1710,1648,2018-08-06 03:08:01,2018-08-06 03:08:01
139,1710,2966,2018-08-06 03:15:02,2018-08-06 03:15:02
140,1710,3404,2018-08-06 03:17:28,2018-08-06 03:17:28
141,1710,3432,2018-08-06 03:17:56,2018-08-06 03:17:56
142,1710,3488,2018-08-06 03:19:16,2018-08-06 03:19:16
143,1710,3486,2018-08-06 03:19:24,2018-08-06 03:19:24
144,1710,3512,2018-08-06 03:20:00,2018-08-06 03:20:00
145,1710,3506,2018-08-06 03:20:11,2018-08-06 03:20:11
146,1710,6252,2018-08-06 03:22:06,2018-08-06 03:22:06
147,1710,6245,2018-08-06 03:22:22,2018-08-06 03:22:22
148,1710,6406,2018-08-06 03:23:03,2018-08-06 03:23:03
149,1710,6412,2018-08-06 03:23:18,2018-08-06 03:23:18
150,1710,8487,2018-08-06 03:24:13,2018-08-06 03:24:13
151,1710,9160,2018-08-06 03:29:04,2018-08-06 03:29:04
152,1710,9164,2018-08-06 03:29:31,2018-08-06 03:29:31
153,1710,9327,2018-08-06 03:31:20,2018-08-06 03:31:20
154,1710,9304,2018-08-06 03:31:42,2018-08-06 03:31:42
155,1710,9322,2018-08-06 03:32:14,2018-08-06 03:32:14
156,1710,9325,2018-08-06 03:32:37,2018-08-06 03:32:37
158,1725,548,2018-08-10 17:49:02,2018-08-10 17:49:02
159,1725,550,2018-08-10 17:49:04,2018-08-10 17:49:04
160,1725,554,2018-08-10 17:49:06,2018-08-10 17:49:06
161,1725,556,2018-08-10 17:49:07,2018-08-10 17:49:07
162,1725,1336,2018-08-10 17:49:24,2018-08-10 17:49:24
163,1725,2350,2018-08-10 17:49:37,2018-08-10 17:49:37
164,1725,1686,2018-08-10 17:49:41,2018-08-10 17:49:41
165,1725,2472,2018-08-10 17:50:35,2018-08-10 17:50:35
166,1725,1906,2018-08-10 17:51:37,2018-08-10 17:51:37
167,1725,3460,2018-08-10 17:56:52,2018-08-10 17:56:52
168,1725,2496,2018-08-10 17:59:48,2018-08-10 17:59:48
169,1725,1632,2018-08-10 18:01:20,2018-08-10 18:01:20
170,1725,3494,2018-08-10 18:02:38,2018-08-10 18:02:38
171,1725,3492,2018-08-10 18:02:41,2018-08-10 18:02:41
172,1725,3532,2018-08-10 18:05:09,2018-08-10 18:05:09
173,1710,10798,2018-08-11 04:11:02,2018-08-11 04:11:02
174,1710,12193,2018-08-11 04:16:57,2018-08-11 04:16:57
175,1710,12235,2018-08-11 04:26:00,2018-08-11 04:26:00
184,1744,1618,2018-08-20 03:02:36,2018-08-20 03:02:36
185,1744,820,2018-08-20 03:05:03,2018-08-20 03:05:03
186,1744,878,2018-08-20 03:06:04,2018-08-20 03:06:04
187,1744,1110,2018-08-20 03:07:23,2018-08-20 03:07:23
188,1744,1512,2018-08-20 03:07:42,2018-08-20 03:07:42
189,1744,1668,2018-08-20 03:08:46,2018-08-20 03:08:46
192,1629,2020,2018-08-21 14:08:21,2018-08-21 14:08:21
194,1749,432,2018-08-22 06:01:52,2018-08-22 06:01:52
195,1757,12252,2018-08-25 05:45:29,2018-08-25 05:45:29
196,1765,12252,2018-08-27 15:17:05,2018-08-27 15:17:05
202,1757,544,2018-08-29 10:30:33,2018-08-29 10:30:33
203,1757,546,2018-08-29 10:30:41,2018-08-29 10:30:41
204,1757,8932,2018-08-29 10:32:43,2018-08-29 10:32:43
205,1757,8934,2018-08-29 10:32:56,2018-08-29 10:32:56
206,1757,10299,2018-08-29 10:33:10,2018-08-29 10:33:10
207,1757,10682,2018-08-29 10:33:29,2018-08-29 10:33:29
208,1757,11380,2018-08-29 10:34:59,2018-08-29 10:34:59
209,1757,11806,2018-08-29 10:36:16,2018-08-29 10:36:16
210,1757,2016,2018-08-29 10:37:33,2018-08-29 10:37:33
211,1757,2238,2018-08-29 10:37:51,2018-08-29 10:37:51
212,1770,6245,2018-08-30 12:13:28,2018-08-30 12:13:28
213,1770,6252,2018-08-30 12:13:38,2018-08-30 12:13:38
214,1770,12193,2018-08-30 12:20:54,2018-08-30 12:20:54
219,1798,9160,2018-09-11 05:13:37,2018-09-11 05:13:37
226,1801,11806,2018-09-12 18:26:59,2018-09-12 18:26:59
227,1801,11802,2018-09-12 18:29:38,2018-09-12 18:29:38
228,1802,346,2018-09-12 19:18:14,2018-09-12 19:18:14
229,1802,344,2018-09-12 19:18:18,2018-09-12 19:18:18
230,1802,356,2018-09-12 19:18:57,2018-09-12 19:18:57
231,1802,644,2018-09-12 19:22:48,2018-09-12 19:22:48
