Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Rear Brake Spring and Clip Kit for all Vanagon 80-92,rear-brake-spring-and-clip-kit-for-all-vanagon-80-92,This kit does all of the springs and clips for both sides of the rear brakes. A great way to restore your rear brake system.,VanAgain,Brakes,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon","80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Brakes, product-id:218, orders:38, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon",TRUE,Active,251698545,,,,,,,,,,,29.00,,,TRUE,,,,,,shopify,73,DENY,0.5,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_251698545.jpg,1,Rear Brake Spring and Clip Kit for all Vanagon 80-92,,FALSE,Rear Brake Spring and Clip Kit for all Vanagon 80-92,"Rear Brake Spring and Clip Kit for all Vanagon 80-92-80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon",,Brakes,,Adult,251698545,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon","Brakes, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Brakes,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon",has-image,from-products-table,
Cylinder Head Gasket Set for 97-2000 VR6 Eurovan,cylinder-head-gasket-set-021198012c,"<p>Cylinder Head Gasket set for 97-2000 VR6 EV</p>

<p>Valve cover gasket may or may not work.</p>",VanAgain,Engine Parts,97-03 2.8L Eurovan,"97-03 2.8L Eurovan, Engine Parts, product-id:220, 97-03-28l-eurovan",TRUE,Active,021198012C,,,,,,,,,,,149.95,,,TRUE,,,,,,shopify,99,DENY,1,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/021198012C.jpg,1,Cylinder Head Gasket Set for 97-2000 VR6 Eurovan,,FALSE,Cylinder Head Gasket Set,Cylinder Head Gasket Set-97-03 2.8L Eurovan,,Engine Parts,,Adult,021198012C,97-03 2.8L Eurovan,"Engine Parts, 97-03 2.8L Eurovan, legacy-import",New,TRUE,Engine Parts,97-03 2.8L Eurovan,has-image,from-products-table,
Bushing for universal on early Vanagon shifter,bushing-for-universal-on-early-vanagon-shifter,"<p>Bushing for universal on early Vanagon shifter This is one of the bushings for the center pivot point of the early Vanagon shift linkage. &nbsp;Number 4 on the chart.</p>

<p>Update:&nbsp; We actually just got an new version of this available which is an exact copy of the original.&nbsp; However it is also more expensive.&nbsp; Most folks want it to match the original as exactly as possible so I am changing what we sell to the updated version.</p>",VanAgain,Transmission & Drivetrain,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon","80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, Transmission & Drivetrain, product-id:222, orders:279, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon",TRUE,Active,251711066,,,,,,,,,,,16.00,,,TRUE,,,,,,shopify,964,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/bushing-for-universal-on-early-vanagon-shifter-97784.jpg,1,Bushing for universal on early Vanagon shifter,,FALSE,Bushing for universal on early Vanagon shifter,"Bushing for universal on early Vanagon shifter-80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon",,Transmission & Drivetrain,,Adult,251711066,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon","Transmission & Drivetrain, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Transmission & Drivetrain,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon",has-image,from-products-table,
,bushing-for-universal-on-early-vanagon-shifter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ph3ar-vercel.s3.amazonaws.com/products/bushing-for-universal-on-early-vanagon-shifter-0-1534362653.png,2,Bushing for universal on early Vanagon shifter,,,,,,,,,,,,,,,,,,
,bushing-for-universal-on-early-vanagon-shifter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ph3ar-vercel.s3.amazonaws.com/products/bushing-for-universal-on-early-vanagon-shifter-0-1553029995.jpg,3,Bushing for universal on early Vanagon shifter,,,,,,,,,,,,,,,,,,
,bushing-for-universal-on-early-vanagon-shifter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ph3ar-vercel.s3.amazonaws.com/products/bushing-for-universal-on-early-vanagon-shifter-0-1553030694.jpg,4,Bushing for universal on early Vanagon shifter,,,,,,,,,,,,,,,,,,
Shifter ball for shift lever for 84-91 Vanagon,shifter-ball-for-shift-lever-for-84-91-vanagon,This is the plastic shift ball on the end of the shift lever that is attached to the side of the transmission. OE. Never available in the US.,VanAgain,Transmission & Drivetrain,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon","83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Transmission & Drivetrain, product-id:224, orders:5, 83-85-19l-vanagon, 86-92-21l-vanagon",TRUE,Active,251711131C,,,,,,,,,,,40.00,,,TRUE,,,,,,shopify,12,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/251711131c.jpg,1,Shifter ball for shift lever for 84-91 Vanagon,,FALSE,Shifter ball for shift lever for 84-91 Vanagon,"Shifter ball for shift lever for 84-91 Vanagon-83-85 1.9L Vanagon, 86-92 2.1L Vanagon",,Transmission & Drivetrain,,Adult,251711131C,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon","Transmission & Drivetrain, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Transmission & Drivetrain,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon",has-image,from-products-table,
Shift Guide Boot for 80-82 Vanagon,shift-guide-boot-for-80-82-vanagon,<p>This is the shifter guide boot on the rear of the shift linkage for an 80-82 A/C and Diesel Vanagon. It is number 15 in the picture.</p>,VanAgain,Transmission & Drivetrain,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon","80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, Transmission & Drivetrain, product-id:226, orders:231, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon",TRUE,Active,251711167A,,,,,,,,,,,12.95,,,TRUE,,,,,,shopify,982,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_251711167a.jpg,1,Shift Guide Boot for 80-82 Vanagon,,FALSE,Shift Guide Boot for 80-82 Vanagon,"Shift Guide Boot for 80-82 Vanagon-80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon",,Transmission & Drivetrain,,Adult,251711167A,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon","Transmission & Drivetrain, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Transmission & Drivetrain,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon",has-image,from-products-table,
Shift Linkage Boot for the Shift Lever 83.5-91 Vanagon,shift-linkage-boot,This is the shift linkage boot for the side of the transmission between the shift lever and the shifter cup. It keeps dirt from getting into the linkage and wearing out.,VanAgain,Transmission & Drivetrain,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon","83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Transmission & Drivetrain, product-id:228, orders:56, 83-85-19l-vanagon, 86-92-21l-vanagon",TRUE,Active,251711167E,,,,,,,,,,,9.95,,,TRUE,,,,,,shopify,68,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_251711167e.jpg,1,Shift Linkage Boot for the Shift Lever 83.5-91 Vanagon,,FALSE,Shift Linkage Boot for the Shift Lever 83.5-91 Vanagon,"Shift Linkage Boot for the Shift Lever 83.5-91 Vanagon-83-85 1.9L Vanagon, 86-92 2.1L Vanagon",,Transmission & Drivetrain,,Adult,251711167E,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon","Transmission & Drivetrain, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Transmission & Drivetrain,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon",has-image,from-products-table,
Shift Linkage Boot 86-91,shift-linkage-boot-86-91,These boots are for some later model Vanagons with a specific shifter bushing. 251711207E. You need two of these boots for each bushing. The bushing is located in the middle and rear of some Vanagons. Check to be sure what bushing you have.,VanAgain,Transmission & Drivetrain,86-92 2.1L Vanagon,"86-92 2.1L Vanagon, Transmission & Drivetrain, product-id:230, orders:18, 86-92-21l-vanagon",TRUE,Active,251711167F,,,,,,,,,,,16.00,,,TRUE,,,,,,shopify,74,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_251711167f.jpg,1,Shift Linkage Boot 86-91,,FALSE,Shift Linkage Boot 86-91,Shift Linkage Boot 86-91-86-92 2.1L Vanagon,,Transmission & Drivetrain,,Adult,251711167F,86-92 2.1L Vanagon,"Transmission & Drivetrain, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Transmission & Drivetrain,86-92 2.1L Vanagon,has-image,from-products-table,
Shift guide in box under shifter in 83-91 Manual Vanagon,shift-guide-in-box-under-shifter-in-83-91-manual-vanagon,<p>This is the alloy shift guide that is bolted to the inside of the shift box below the front shifter.</p>,VanAgain,Transmission & Drivetrain,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon","83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Transmission & Drivetrain, product-id:232, orders:54, 83-85-19l-vanagon, 86-92-21l-vanagon",TRUE,Active,251711176,,,,,,,,,,,49.95,,,TRUE,,,,,,shopify,97,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/251711176-1.jpg,1,Shift guide in box under shifter in 83-91 Manual Vanagon,,FALSE,Shift guide in box under shifter in 83-91 Manual Vanagon,"Shift guide in box under shifter in 83-91 Manual Vanagon-83-85 1.9L Vanagon, 86-92 2.1L Vanagon",,Transmission & Drivetrain,,Adult,251711176,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon","Transmission & Drivetrain, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Transmission & Drivetrain,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon",has-image,from-products-table,
Guide Pin for Shifter 80-83 Vanagon,guide-pin-for-shifter-80-82-vanagon,<p>This is a discontinued shifter guide pin that fits the 80-83&nbsp;Vanagon Air Cooled and 1982&nbsp;Diesel. We are reproducing these here in the USA and they are an upgraded part. This is number 17 on the chart.</p>,VanAgain,Transmission & Drivetrain,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon","80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, Transmission & Drivetrain, product-id:234, orders:77, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon",TRUE,Active,251711181,,,,,,,,,,,120.00,,,TRUE,,,,,,shopify,59,DENY,0.5,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/251711181.jpg,1,Guide Pin for Shifter 80-83 Vanagon,,FALSE,Guide Pin for Shifter 80-82 Vanagon,"Guide Pin for Shifter 80-82 Vanagon-80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon",,Transmission & Drivetrain,,Adult,251711181,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon","Transmission & Drivetrain, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Transmission & Drivetrain,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon",has-image,from-products-table,
,guide-pin-for-shifter-80-82-vanagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ph3ar-vercel.s3.amazonaws.com/products/guide-pin-for-shifter-80-82-vanagon-0-1534362795.png,2,Guide Pin for Shifter 80-83 Vanagon,,,,,,,,,,,,,,,,,,
Center Shift Bushing for 80-83.5 Vanagon,center-shift-bushing,"<p>This is the center shifter bushing for the 80-83.5 Vanagon air cooled and diesel. These have been NLA for many, many but we have finally found a source for them in Germany. Number 21 on the chart.&nbsp; They are located above the gas tank and you will be required to drop your tank to replace them.&nbsp; It would be a great time to reseal your tank too so why not pick up our kit for that at the same time?</p>",VanAgain,Transmission & Drivetrain,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon","80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, Transmission & Drivetrain, product-id:236, orders:349, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon",TRUE,Active,251711207,,,,,,,,,,,24.00,,,TRUE,,,,,,shopify,963,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/251711207.jpg,1,Center Shift Bushing for 80-83.5 Vanagon,,FALSE,Center Shift Bushing for 80-83.5 Vanagon,"Center Shift Bushing for 80-83.5 Vanagon-80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon",,Transmission & Drivetrain,,Adult,251711207,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon","Transmission & Drivetrain, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Transmission & Drivetrain,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon",has-image,from-products-table,
