Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Engine Main Bearing Set for Diesel Vanagon (STD),engine-main-bearing-set-056198451A,<p>Engine Main Bearing Set for Diesel Vanagon (Standard by Standard). Mahle.</p>,VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2340, 82-84-diesel-vanagon",TRUE,Active,056198451A,,,,,,,,,,,59.00,,,TRUE,,,,,,shopify,100,DENY,0.5,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/engine-main-bearing-set-056198451A-40103.jpg,1,Engine Main Bearing Set for Diesel Vanagon (STD),,FALSE,Engine Main Bearing Set for Diesel Vanagon (STD),Engine Main Bearing Set for Diesel Vanagon (STD)-82-84 Diesel Vanagon,,Engine Parts,,Adult,056198451A,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
,engine-main-bearing-set-056198451A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ph3ar-vercel.s3.amazonaws.com/products/engine-main-bearing-set-056198451A-0-1528126338.jpg,2,Engine Main Bearing Set for Diesel Vanagon (STD),,,,,,,,,,,,,,,,,,
"Engine Main Bearing Set for Diesel Vanagon (.25mm/.010"" on crank)",engine-main-bearing-set-056198453A,<p>Engine Main Bearing Set for Diesel Vanagon (Oversized on crank .25mm/.010&quot;). Mahle.or Glyco</p>,VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2342, 82-84-diesel-vanagon",TRUE,Active,056198453A,,,,,,,,,,,59.00,,,TRUE,,,,,,shopify,100,DENY,0.5,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/engine-main-bearing-set-056198453A-29545.jpg,1,"Engine Main Bearing Set for Diesel Vanagon (.25mm/.010"" on crank)",,FALSE,"Engine Main Bearing Set for Diesel Vanagon (.25mm/.010"" on crank)","Engine Main Bearing Set for Diesel Vanagon (.25mm/.010"" on crank)-82-84 Diesel Vanagon",,Engine Parts,,Adult,056198453A,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
,engine-main-bearing-set-056198453A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ph3ar-vercel.s3.amazonaws.com/products/engine-main-bearing-set-056198453A-0-1528126427.jpg,2,"Engine Main Bearing Set for Diesel Vanagon (.25mm/.010"" on crank)",,,,,,,,,,,,,,,,,,
"Engine Main Bearing Set for Diesel Vanagon (.50mm/.020"" on crank)",engine-main-bearing-set-056198455A,<p>Engine Main Bearing Set for Diesel Vanagon (Oversized on crank .50mm/.020&quot;). Mahle.</p>,VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2344, 82-84-diesel-vanagon",TRUE,Active,056198455A,,,,,,,,,,,59.00,,,TRUE,,,,,,shopify,100,DENY,0.5,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/engine-main-bearing-set-056198455A-14775.jpg,1,"Engine Main Bearing Set for Diesel Vanagon (.50mm/.020"" on crank)",,FALSE,"Engine Main Bearing Set for Diesel Vanagon (.50mm/.020"" on crank)","Engine Main Bearing Set for Diesel Vanagon (.50mm/.020"" on crank)-82-84 Diesel Vanagon",,Engine Parts,,Adult,056198455A,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
Vanagon O-Ring for flywheel,vanagon-o-ring-for-flywheel,Legacy VanAgain catalog item reconstructed from image and order data for Vanagon O-Ring for flywheel.,VanAgain,Clutch,80-83 Air Cooled Vanagon,"80-83 Air Cooled Vanagon, Clutch, Engine Parts, product-id:2346, orders:2, 80-83-air-cooled-vanagon",FALSE,Draft,21105279,,,,,,,,,,,3.00,,,TRUE,,,,,,shopify,99,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_021105279.jpg,1,Vanagon O-Ring for flywheel,,FALSE,Vanagon O-Ring for flywheel,Vanagon O-Ring for flywheel-80-83 Air Cooled Vanagon,,Clutch,,Adult,21105279,80-83 Air Cooled Vanagon,"Clutch, 80-83 Air Cooled Vanagon, legacy-import",New,TRUE,Clutch,80-83 Air Cooled Vanagon,has-image,from-products-table,
Intermediate Shaft Brg,intermediate-shaft-brg,Intermediate Shaft Brg. for 82-84 Diesel Vanagon (countershaft),VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2348, orders:2, 82-84-diesel-vanagon",TRUE,Active,56198521,,,,,,,,,,,15.00,,,TRUE,,,,,,shopify,100,DENY,0.5,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_056198521.jpg,1,Intermediate Shaft Brg,,FALSE,Intermediate Shaft Brg,Intermediate Shaft Brg-82-84 Diesel Vanagon,,Engine Parts,,Adult,56198521,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
Vanagon .3 bar oil pressure sender for oil light.,0-3-bar-oleo-pressure-sender,For all Vanagon engines (80-92). Screws into the block between push rod tubes near bottom of engine in waterboxer engine.  Screws into side of head on diesel.  Can be blue or brown in color.,VanAgain,Body - Electrical,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon","80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Body - Electrical, Electrical Items, Engine Parts, product-id:2350, orders:30, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon",TRUE,Active,056919081C,,,,,,,,,,,7.50,,,TRUE,,,,,,shopify,81,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_056919081c.jpg,1,Vanagon .3 bar oil pressure sender for oil light.,,FALSE,Vanagon .3 bar oil pressure sender for oil light.,"Vanagon .3 bar oil pressure sender for oil light.-80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon",,Body - Electrical,,Adult,056919081C,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon","Body - Electrical, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Body - Electrical,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon",has-image,from-products-table,
Oil Pressure Switch,oil-pressure-switch-056919081E,1.8 Bar,VanAgain,Electrical Items,92-96 2.5L Eurovan,"92-96 2.5L Eurovan, Electrical Items, product-id:2352, orders:5, 92-96-25l-eurovan",TRUE,Active,056919081E,,,,,,,,,,,5.00,,,TRUE,,,,,,shopify,98,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_056919081e.jpg,1,Oil Pressure Switch,,FALSE,Oil Pressure Switch,Oil Pressure Switch-92-96 2.5L Eurovan,,Electrical Items,,Adult,056919081E,92-96 2.5L Eurovan,"Electrical Items, 92-96 2.5L Eurovan, legacy-import",New,TRUE,Electrical Items,92-96 2.5L Eurovan,has-image,from-products-table,
Idle Stop Solenoid,idle-stop-solenoid,Idle Cut-off Valve for 1967-1970/Type 2 (carburetor),VanAgain,Fuel Injection,68-79 Bus,"68-79 Bus, Fuel Injection, product-id:2354, 68-79-bus",TRUE,Active,058129413D,,,,,,,,,,,36.00,,,TRUE,,,,,,shopify,100,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_058129413d.jpg,1,Idle Stop Solenoid,,FALSE,Idle Stop Solenoid,Idle Stop Solenoid-68-79 Bus,,Fuel Injection,,Adult,058129413D,68-79 Bus,"Fuel Injection, 68-79 Bus, legacy-import",New,TRUE,Fuel Injection,68-79 Bus,has-image,from-products-table,
Freeze Plug,freeze-plug,Freeze Out Plug for Diesel Vanagon and Eurovan 36.6mm,VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2356, orders:1, 82-84-diesel-vanagon",TRUE,Active,59103113,,,,,,,,,,,0.75,,,TRUE,,,,,,shopify,5,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_059103113.jpg,1,Freeze Plug,,FALSE,Freeze Plug,Freeze Plug-82-84 Diesel Vanagon,,Engine Parts,,Adult,59103113,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
Engine Oil Drain Plug (26mm) for 92-96 Eurovan with 5-cylinder engine,engine-oil-drain-plug-26mm,<p>92-96 5-cylinder engine</p>,VanAgain,Engine Parts,92-96 2.5L Eurovan,"92-96 2.5L Eurovan, Engine Parts, product-id:2358, orders:1, 92-96-25l-eurovan",TRUE,Active,059103193,,,,,,,,,,,15.00,,,TRUE,,,,,,shopify,100,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/059103193.jpg,1,Engine Oil Drain Plug (26mm) for 92-96 Eurovan with 5-cylinder engine,,FALSE,Engine Oil Drain Plug (26mm),Engine Oil Drain Plug (26mm)-92-96 2.5L Eurovan,,Engine Parts,,Adult,059103193,92-96 2.5L Eurovan,"Engine Parts, 92-96 2.5L Eurovan, legacy-import",New,TRUE,Engine Parts,92-96 2.5L Eurovan,has-image,from-products-table,
Oil Filler Cap Gasket,oil-filler-cap-gasket-059103487,Oil Filler Cap Gasket for 82-84 Vanagon Diesel(see Reinz(OE)102 018 03 80),VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2360, orders:3, 82-84-diesel-vanagon",TRUE,Active,59103487,,,,,,,,,,,3.00,,,TRUE,,,,,,shopify,98,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_059103487.jpg,1,Oil Filler Cap Gasket,,FALSE,Oil Filler Cap Gasket,Oil Filler Cap Gasket-82-84 Diesel Vanagon,,Engine Parts,,Adult,59103487,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
Vanagon Valve spring (inner),vanagon-valve-spring-inner,"Vanagon valve spring, inner.
This is the smaller inner valve spring for all Waterboxer Vanagon engines (83.5-91). These are aftermarket made by AMC. 8 per engine.",VanAgain,Engine Parts,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon","83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Engine Parts, product-id:2362, orders:4, 83-85-19l-vanagon, 86-92-21l-vanagon",TRUE,Active,059109633B,,,,,,,,,,,3.99,,,TRUE,,,,,,shopify,92,DENY,0.05,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/059109633B.jpg,1,Vanagon Valve spring (inner),,FALSE,Vanagon Valve spring (inner),"Vanagon Valve spring (inner)-83-85 1.9L Vanagon, 86-92 2.1L Vanagon",,Engine Parts,,Adult,059109633B,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon","Engine Parts, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Engine Parts,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon",has-image,from-products-table,
Thermostat Gasket,thermostat-gasket,Thermostat Gasket for 82-84 Diesel Vanagon (50x4mm/water pump housing),VanAgain,Coolant System,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Coolant System, product-id:2364, orders:6, 82-84-diesel-vanagon",TRUE,Active,59121119,,,,,,,,,,,0.75,,,TRUE,,,,,,shopify,8,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_059121119.jpg,1,Thermostat Gasket,,FALSE,Thermostat Gasket,Thermostat Gasket-82-84 Diesel Vanagon,,Coolant System,,Adult,59121119,82-84 Diesel Vanagon,"Coolant System, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Coolant System,82-84 Diesel Vanagon,has-image,from-products-table,
"Exhaust Locking Nut for 8mm stud all VW Bus, Vanagon, and Eurovan",exhaust-locking-nut-for-92-2003-eurovan,<p>This is the exhaust locking nut that holds the exhaust manifold to the head . It is copper clad and has a 12mm hex.&nbsp; Price is per nut.</p>,VanAgain,Exhaust Parts,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan","68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan, Exhaust Parts, product-id:2366, orders:34, 68-79-bus, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, 92-96-25l-eurovan, 97-03-28l-eurovan",TRUE,Active,059129601,,,,,,,,,,,0.50,,,TRUE,,,,,,shopify,959,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/exhaust-locking-nut-for-92-2003-eurovan-43480.jpg,1,"Exhaust Locking Nut for 8mm stud all VW Bus, Vanagon, and Eurovan",,FALSE,Exhaust Locking Nut,"Exhaust Locking Nut -68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan",,Exhaust Parts,,Adult,059129601,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan","Exhaust Parts, 68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan, legacy-import",New,TRUE,Exhaust Parts,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan",has-image,from-products-table,
Flywheel Shim,flywheel-shim-021105281,<p>.30 mm Flywheel Shim for Vanagon</p>,VanAgain,Clutch,83-85 1.9L Vanagon,"83-85 1.9L Vanagon, Clutch, Engine Parts, product-id:2368, orders:1, 83-85-19l-vanagon",FALSE,Draft,21105281,,,,,,,,,,,16.60,,,TRUE,,,,,,shopify,3,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/021105281.jpg,1,Flywheel Shim,,FALSE,Flywheel Shim,Flywheel Shim-83-85 1.9L Vanagon,,Clutch,,Adult,21105281,83-85 1.9L Vanagon,"Clutch, 83-85 1.9L Vanagon, legacy-import",New,TRUE,Clutch,83-85 1.9L Vanagon,has-image,from-products-table,
Coolant Temperature Sensor for 99-2003 Eurovan,water-temperature-sensor-059919501A,<p>This is a four pin coolant temperature sensor for the 1999-2003 Eurovan 2.8l VR6 Engine.&nbsp; This sensor is green and it does both the Fuel Injection and the Gauge in the dash.&nbsp; It comes as a kit that includes a new plastic clip and rubber seal o-ring.</p>,VanAgain,Electrical Items,97-03 2.8L Eurovan,"97-03 2.8L Eurovan, Electrical Items, Engine Electrical, Engine Parts, Fuel Injection, product-id:2370, 97-03-28l-eurovan",TRUE,Active,059919501A,,,,,,,,,,,18.00,,,TRUE,,,,,,shopify,100,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/water-temperature-sensor-059919501A-18939.jpg,1,Coolant Temperature Sensor for 99-2003 Eurovan,,FALSE,Water Temperature Sensor,Water Temperature Sensor-97-03 2.8L Eurovan,,Electrical Items,,Adult,059919501A,97-03 2.8L Eurovan,"Electrical Items, 97-03 2.8L Eurovan, legacy-import",New,TRUE,Electrical Items,97-03 2.8L Eurovan,has-image,from-products-table,
Crankshaft Seal Kit Silicone,crankshaft-seal-kit-silicone,Crankshaft Seal Kit Silicone for 82-84 Diesel Vanagon (rear crankshaft/105x85x12mm). Rear (flywheel).,VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2372, orders:2, 82-84-diesel-vanagon",TRUE,Active,068103051G,,,,,,,,,,,14.00,,,TRUE,,,,,,shopify,2,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_068103051g.jpg,1,Crankshaft Seal Kit Silicone,,FALSE,Crankshaft Seal Kit Silicone,Crankshaft Seal Kit Silicone-82-84 Diesel Vanagon,,Engine Parts,,Adult,068103051G,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
Cylinder Head Gasket for 1.6l Diesel Vanagon  1 notch,cylinder-head-gasket-068103383FL,"<p>This is the Cylinder Head Gasket for 82-84 1.6l Diesel engine used in Vanagon.&nbsp; This is the 1&nbsp;notch version and takes a 12mm head bolt.&nbsp; This gasket is the same if you have a 1.6l NA or Turbo engine.&nbsp; Just check to see how many holes or notches that you need.&nbsp; If you look down at engine from above you will see the head gasket protruding from under the head a little.&nbsp; If you look at the center of the engine near the fuel pump you should see the head gasket and be able to note how many notches or holes your original gasket.&nbsp; Since this is your combustion chamber, this is very critical.&nbsp; Engine code is CS or JX</p>",VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2374, 82-84-diesel-vanagon",TRUE,Active,068103383FL,,,,,,,,,,,24.00,,,TRUE,,,,,,shopify,100,DENY,2,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/cylinder-head-gasket-068103383FL-99439.JPG,1,Cylinder Head Gasket for 1.6l Diesel Vanagon  1 notch,,FALSE,Cylinder Head Gasket,Cylinder Head Gasket-82-84 Diesel Vanagon,,Engine Parts,,Adult,068103383FL,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
Cylinder Head Gasket for 1.6l Diesel Vanagon 2 notch,cylinder-head-gasket-068103383FM,"<p>This is the Cylinder Head Gasket for 82-84 1.6l Diesel engine used in Vanagon.&nbsp; This is the 2 notch version and takes a 12mm head bolt.&nbsp; This gasket is the same if you have a 1.6l NA or Turbo engine.&nbsp; Just check to see how many holes or notches that you need.&nbsp; If you look down at engine from above you will see the head gasket protruding from under the head a little.&nbsp; If you look at the center of the engine near the fuel pump you should see the head gasket and be able to note how many notches or holes your original gasket.&nbsp; Since this is your combustion chamber, this is very critical.&nbsp; Engine code is CS or JX</p>",VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2376, 82-84-diesel-vanagon",TRUE,Active,068103383FM,,,,,,,,,,,24.00,,,TRUE,,,,,,shopify,100,DENY,2.5,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/cylinder-head-gasket-068103383FM-20989.JPG,1,Cylinder Head Gasket for 1.6l Diesel Vanagon 2 notch,,FALSE,Cylinder Head Gasket,Cylinder Head Gasket-82-84 Diesel Vanagon,,Engine Parts,,Adult,068103383FM,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
Cylinder Head Gasket for 1.6l Diesel Vanagon 3 notch,cylinder-head-gasket-068103383FN,"<p>This is the Cylinder Head Gasket for 82-84 1.6l Diesel engine used in Vanagon.&nbsp; This is the&nbsp;3 notch version and takes a 12mm head bolt.&nbsp; This gasket is the same if you have a 1.6l NA or Turbo engine.&nbsp; Just check to see how many holes or notches that you need.&nbsp; If you look down at engine from above you will see the head gasket protruding from under the head a little.&nbsp; If you look at the center of the engine near the fuel pump you should see the head gasket and be able to note how many notches or holes your original gasket.&nbsp; Since this is your combustion chamber, this is very critical.&nbsp; Engine code is CS or JX</p>",VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2378, orders:1, 82-84-diesel-vanagon",TRUE,Active,068103383FN,,,,,,,,,,,24.00,,,TRUE,,,,,,shopify,99,DENY,1,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_068103383fn.jpg,1,Cylinder Head Gasket for 1.6l Diesel Vanagon 3 notch,,FALSE,Cylinder Head Gasket,Cylinder Head Gasket-82-84 Diesel Vanagon,,Engine Parts,,Adult,068103383FN,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
"Cylinder Head Bolt for diesel Vanagon, and 93-95 Eurovan",cylinder-head-bolt-068103384A,<p>Cylinder Head Bolt with washer 12mm for Diesel Vanagon and 5-cylinder Eurovan.&nbsp; Always replace.&nbsp; Ten are required per engine.</p>,VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2380, orders:1, 82-84-diesel-vanagon",TRUE,Active,068103384A,,,,,,,,,,,4.99,,,TRUE,,,,,,shopify,1000,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_068103384a.jpg,1,"Cylinder Head Bolt for diesel Vanagon, and 93-95 Eurovan",,FALSE,Cylinder Head Bolt,Cylinder Head Bolt-82-84 Diesel Vanagon,,Engine Parts,,Adult,068103384A,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
Piston Set Standard size for 82-84 1.6l NA Diesel Vanagon,piston-set,"<p>Standard Piston Set of four for 82-84 1.6l NA Diesel Vanagon. Does all four cylinders. 76.50mm.</p>

<p>Made by KS which is the original manufacturer.</p>",VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2382, 82-84-diesel-vanagon",TRUE,Active,068107065BA,,,,,,,,,,,399.00,,,TRUE,,,,,,shopify,100,DENY,8,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/068107065BA.jpg,1,Piston Set Standard size for 82-84 1.6l NA Diesel Vanagon,,FALSE,Piston Set,Piston Set-82-84 Diesel Vanagon,,Engine Parts,,Adult,068107065BA,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
Piston Set .50mm oversized for 82-84 Diesel Vanagon,0-5mm-oversized-pistons,"<p>.50mm,oversize 1.6L Piston Set of four for 82-84 Diesel Vanagon. Does all four cylinders. 77mm</p>

<p>Made by KS which is the original manufacturer.</p>",VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2384, 82-84-diesel-vanagon",TRUE,Active,068107081D,,,,,,,,,,,450.00,,,TRUE,,,,,,shopify,100,DENY,8,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/068107065BA1.jpg,1,Piston Set .50mm oversized for 82-84 Diesel Vanagon,,FALSE,Piston Set .50mm oversized,Piston Set .50mm oversized-82-84 Diesel Vanagon,,Engine Parts,,Adult,068107081D,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
Timing Belt for Diesel Vanagon,timing-belt-068109119e,<p>Timing Belt for 82-84 Diesel Vanagon</p>,VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2386, orders:7, 82-84-diesel-vanagon",TRUE,Active,068109119E,,,,,,,,,,,19.95,,,TRUE,,,,,,shopify,97,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_068109119e.jpg,1,Timing Belt for Diesel Vanagon,,FALSE,Timing Belt,Timing Belt-82-84 Diesel Vanagon,,Engine Parts,,Adult,068109119E,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
Timing Belt Tensioner for Diesel Vanagon,timing-belt-tensioner,<p>Timing Belt Tensioner for 82-84 Diesel Vanagon</p>,VanAgain,Engine Parts,82-84 Diesel Vanagon,"82-84 Diesel Vanagon, Engine Parts, product-id:2388, orders:1, 82-84-diesel-vanagon",TRUE,Active,068109243F,,,,,,,,,,,45.00,,,TRUE,,,,,,shopify,100,DENY,1,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/s_068109243f.jpg,1,Timing Belt Tensioner for Diesel Vanagon,,FALSE,Timing Belt Tensioner,Timing Belt Tensioner-82-84 Diesel Vanagon,,Engine Parts,,Adult,068109243F,82-84 Diesel Vanagon,"Engine Parts, 82-84 Diesel Vanagon, legacy-import",New,TRUE,Engine Parts,82-84 Diesel Vanagon,has-image,from-products-table,
