Handle,Title,Tags,Option1 Name,Option1 Value
guide-pin-for-shifter-80-82-vanagon,Guide Pin for Shifter 80-83 Vanagon,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, Transmission & Drivetrain, product-id:234, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, transmission-drivetrain, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, category:transmission-drivetrain",Title,Default Title
center-shift-bushing,Center Shift Bushing for 80-83.5 Vanagon,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, Transmission & Drivetrain, product-id:236, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, transmission-drivetrain, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, category:transmission-drivetrain",Title,Default Title
shift-bushing-for-84-91-vanagon-center-or-rear,Shift Bushing for 84-91 Vanagon center or rear,"83-85 1.9L Vanagon, Transmission & Drivetrain, product-id:238, 83-85-19l-vanagon, transmission-drivetrain, vehicle:83-85-19l-vanagon, category:transmission-drivetrain",Title,Default Title
shift-bushing-for-84-91-vanagon-center-or-rear-2,Shift Bushing for 84-91 Vanagon center or rear,"86-92 2.1L Vanagon, Transmission & Drivetrain, product-id:240, 86-92-21l-vanagon, transmission-drivetrain, vehicle:86-92-21l-vanagon, category:transmission-drivetrain",Title,Default Title
oil-sump-gasket-set-021198031b,Oil Sump Gasket Set,"68-79 Bus, Engine Parts, product-id:242, 68-79-bus, engine-parts, vehicle:68-79-bus, category:engine-parts",Title,Default Title
bushing-for-universal-on-early-vanagon-shifter-2,Bushing for universal on early Vanagon Shifter 80-83.5,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, Transmission & Drivetrain, product-id:244, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, transmission-drivetrain, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, category:transmission-drivetrain",Title,Default Title
shift-lever-transmission,Shift Lever for the Side of the transmission 80-83.5 Vanagon 251711219,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, Transmission & Drivetrain, product-id:246, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, transmission-drivetrain, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, category:transmission-drivetrain",Title,Default Title
shift-bushing-for-80-82-vanagon-ac-and-diesel,Shift Bushing for 80-83 Vanagon A/C and Diesel,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, Transmission & Drivetrain, product-id:248, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, transmission-drivetrain, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, category:transmission-drivetrain",Title,Default Title
bellows-for-5-speed-shifter-from-985-1991,Bellows for 5-speed Shifter from 9/85-1991,"86-92 2.1L Vanagon, Transmission & Drivetrain, product-id:250, 86-92-21l-vanagon, transmission-drivetrain, vehicle:86-92-21l-vanagon, category:transmission-drivetrain",Title,Default Title
universal-joint-for-shift-linkage-manual-vanagon,Universal Joint for Shift Linkage Manual Vanagon,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Transmission & Drivetrain, product-id:252, 83-85-19l-vanagon, 86-92-21l-vanagon, transmission-drivetrain, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:transmission-drivetrain",Title,Default Title
vacuum-acutator-for-syncro-vanagon-locking-differential,Vacuum Acutator for Syncro Vanagon Locking Differential,"86-92 2.1L Vanagon, Transmission & Drivetrain, product-id:254, 86-92-21l-vanagon, transmission-drivetrain, vehicle:86-92-21l-vanagon, category:transmission-drivetrain",Title,Default Title
rear-shift-linkage-cup,Rear Shift Linkage Cup for 83.5-91 Waterboxer Vanagon,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Transmission & Drivetrain, product-id:256, 83-85-19l-vanagon, 86-92-21l-vanagon, transmission-drivetrain, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:transmission-drivetrain",Title,Default Title
differential-bearing-2517185,Differential Bearing,"68-79 Bus, Transmission & Drivetrain, product-id:258, 68-79-bus, transmission-drivetrain, vehicle:68-79-bus, category:transmission-drivetrain",Title,Default Title
front-differential-carrier-bearing,Front Diff. Carrier Bearing,"92-96 2.5L Eurovan, 97-03 2.8L Eurovan, Transmission & Drivetrain, product-id:260, 92-96-25l-eurovan, 97-03-28l-eurovan, transmission-drivetrain, vehicle:92-96-25l-eurovan, vehicle:97-03-28l-eurovan, category:transmission-drivetrain",Title,Default Title
clutch-slave-cylinder-251721263,Clutch Slave cylinder for all manual transmission Vanagon 80-92 (includes syncro)- Aftermarket,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Body Mechanical & Trim, Clutch, Transmission & Drivetrain, product-id:262, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, body-mechanical-trim, clutch, transmission-drivetrain, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:body-mechanical-trim, category:clutch, category:transmission-drivetrain",Title,Default Title
piston-and-cylinder-set-021198075b,Piston & Cylinder Set for 72-73 Bus with 1700cc engine,"68-79 Bus, Engine Parts, product-id:264, 68-79-bus, engine-parts, vehicle:68-79-bus, category:engine-parts",Title,Default Title
clutch-master-cylinder-for-80-91-vanagon,Clutch Master Cylinder for all Manual Vanagon,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Clutch, product-id:266, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, clutch, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:clutch",Title,Default Title
clutch-master-cylinder-meyle,Clutch Master Cylinder (Aftermarket) for all Manual Vanagon,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Clutch, product-id:268, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, clutch, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:clutch",Title,Default Title
clutch-hoses-with-hydraulic-clutch,Clutch Hoses with Hydraulic Clutch,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Clutch, product-id:270, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, clutch, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:clutch",Title,Default Title
throttle-cable-with-manual-transmission,Throttle Cable with manual transmission 80-83 Air Cooled Vanagon.,"80-83 Air Cooled Vanagon, Fuel Injection, product-id:274, 80-83-air-cooled-vanagon, fuel-injection, vehicle:80-83-air-cooled-vanagon, category:fuel-injection",Title,Default Title
throttle-cable-251721555c,Throttle Cable 1.6l NA Diesel Vanagon,"82-84 Diesel Vanagon, Body Mechanical & Trim, Fuel Delivery, Fuel Injection, product-id:276, 82-84-diesel-vanagon, body-mechanical-trim, fuel-delivery, fuel-injection, vehicle:82-84-diesel-vanagon, category:body-mechanical-trim, category:fuel-delivery, category:fuel-injection",Title,Default Title
accelerator-cable-for-manual-transmission-vanagons,Accelerator Cable for Manual Transmission Vanagons,"83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Fuel Delivery, Fuel Injection, product-id:278, 83-85-19l-vanagon, 86-92-21l-vanagon, fuel-delivery, fuel-injection, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:fuel-delivery, category:fuel-injection",Title,Default Title
